Browser,Language,N,Package,CPU,GPU,DRAM,Time
GoogleChrome,JS,1,1573.537,1438.609,0,89.942,99.871
GoogleChrome,JS,2,1528.203,1394.009,0,87.891,103.656
GoogleChrome,JS,3,1503.628,1372.259,0,86.012,101.412
GoogleChrome,JS,4,1494.356,1364.309,0,85.609,100.881
GoogleChrome,JS,5,1480.218,1349.105,0,86.297,101.802
MicrosoftEdge,JS,1,1582.375,1452.405,0,87.208,101.102
MicrosoftEdge,JS,2,1533.195,1400.935,0,88.830,102.949
MicrosoftEdge,JS,3,1529.929,1396.487,0,89.312,103.623
MicrosoftEdge,JS,4,1519.844,1385.699,0,88.897,103.366
MicrosoftEdge,JS,5,1536.472,1401.503,0,90.382,104.887
MozillaFirefox,JS,1,2138.896,1948.346,0,120.312,146.206
MozillaFirefox,JS,2,2090.377,1896.608,0,120.339,146.919
MozillaFirefox,JS,3,2116.446,1922.498,0,121.512,147.994
MozillaFirefox,JS,4,2102.336,1906.966,0,121.974,148.899
MozillaFirefox,JS,5,2088.657,1892.969,0,122.425,149.472
GoogleChrome,Wasm,1,1338.481,1229.003,0,73.511,84.499
GoogleChrome,Wasm,2,1317.841,1198.785,0,78.373,92.077
GoogleChrome,Wasm,3,1291.945,1175.035,0,78.501,86.739
GoogleChrome,Wasm,4,1277.298,1165.388,0,74.460,85.425
GoogleChrome,Wasm,5,1281.517,1170.655,0,74.530,85.746
MicrosoftEdge,Wasm,1,1395.127,1295.290,0,69.973,80.482
MicrosoftEdge,Wasm,2,1273.755,1167.935,0,72.791,83.799
MicrosoftEdge,Wasm,3,1277.740,1169.313,0,73.094,84.125
MicrosoftEdge,Wasm,4,1283.440,1174.421,0,73.448,84.410
MicrosoftEdge,Wasm,5,1279.839,1170.719,0,73.282,84.286
MozillaFirefox,Wasm,1,1272.333,1178.087,0,65.870,73.217
MozillaFirefox,Wasm,2,1146.363,1047.275,0,67.453,75.073
MozillaFirefox,Wasm,3,1156.466,1056.970,0,67.677,75.586
MozillaFirefox,Wasm,4,1152.071,1051.841,0,68.266,75.518
MozillaFirefox,Wasm,5,1145.301,1045.293,0,67.694,74.962
