Browser,Language,N,Package,CPU,GPU,DRAM,Time
GoogleChrome,JS,1,2060.559,1864.054,0,128.021,127.555
GoogleChrome,JS,2,1973.488,1771.792,0,130.722,130.920
GoogleChrome,JS,3,1985.180,1780.876,0,131.845,132.381
GoogleChrome,JS,4,1979.994,1776.169,0,131.766,132.136
GoogleChrome,JS,5,1991.866,1786.228,0,132.570,133.051
MicrosoftEdge,JS,1,2023.554,1838.975,0,123.878,131.125
MicrosoftEdge,JS,2,2058.928,1859.915,0,139.674,137.579
MicrosoftEdge,JS,3,1985.482,1799.946,0,125.940,131.870
MicrosoftEdge,JS,4,1975.763,1791.373,0,124.164,131.142
MicrosoftEdge,JS,5,1972.410,1788.300,0,124.083,131.046
MozillaFirefox,JS,1,2710.870,2435.132,0,170.153,178.924
MozillaFirefox,JS,2,2677.388,2397.888,0,171.074,179.627
MozillaFirefox,JS,3,2666.719,2390.496,0,169.398,178.045
MozillaFirefox,JS,4,2647.371,2372.429,0,168.610,177.649
MozillaFirefox,JS,5,2674.671,2397.085,0,170.540,179.575
GoogleChrome,Wasm,1,2116.602,1909.836,0,132.116,133.696
GoogleChrome,Wasm,2,2051.887,1837.084,0,135.751,137.351
GoogleChrome,Wasm,3,2034.946,1819.917,0,136.383,137.986
GoogleChrome,Wasm,4,2028.952,1814.111,0,136.304,137.986
GoogleChrome,Wasm,5,2016.379,1800.136,0,136.753,138.567
MicrosoftEdge,Wasm,1,2103.631,1910.359,0,124.488,131.177
MicrosoftEdge,Wasm,2,2027.149,1826.544,0,128.172,135.365
MicrosoftEdge,Wasm,3,2020.863,1820.397,0,127.333,134.379
MicrosoftEdge,Wasm,4,2185.272,1967.083,0,138.075,146.303
MicrosoftEdge,Wasm,5,2013.461,1814.567,0,127.338,134.298
MozillaFirefox,Wasm,1,1738.725,1581.399,0,102.735,104.384
MozillaFirefox,Wasm,2,1639.175,1471.693,0,106.361,108.590
MozillaFirefox,Wasm,3,1650.135,1480.914,0,107.092,109.327
MozillaFirefox,Wasm,4,1638.607,1470.340,0,106.844,108.952
MozillaFirefox,Wasm,5,1634.284,1464.225,0,107.056,109.337
