Browser,Language,N,Package,CPU,GPU,DRAM,Time
GoogleChrome,JS,1,2912.556,2608.733,0,199.106,197.056
GoogleChrome,JS,2,2872.662,2561.522,0,203.066,200.946
GoogleChrome,JS,3,2870.185,2554.089,0,205.070,203.120
GoogleChrome,JS,4,2876.023,2562.192,0,203.993,201.662
GoogleChrome,JS,5,2875.255,2562.329,0,203.497,201.262
MicrosoftEdge,JS,1,3028.909,2763.116,0,185.110,191.600
MicrosoftEdge,JS,2,2934.760,2659.043,0,189.577,196.470
MicrosoftEdge,JS,3,2935.142,2656.980,0,189.898,196.742
MicrosoftEdge,JS,4,2955.976,2674.950,0,191.262,198.154
MicrosoftEdge,JS,5,2961.819,2678.386,0,192.781,199.932
MozillaFirefox,JS,1,4280.037,3839.069,0,270.086,285.129
MozillaFirefox,JS,2,4221.510,3770.849,0,274.378,290.143
MozillaFirefox,JS,3,4128.206,3681.668,0,272.576,288.045
MozillaFirefox,JS,4,4153.202,3703.029,0,275.742,290.796
MozillaFirefox,JS,5,4126.839,3680.917,0,272.580,288.110
GoogleChrome,Wasm,1,2756.846,2473.388,0,182.759,181.961
GoogleChrome,Wasm,2,2682.640,2390.753,0,187.272,186.595
GoogleChrome,Wasm,3,2673.077,2381.866,0,185.867,185.276
GoogleChrome,Wasm,4,2679.616,2388.659,0,186.977,186.108
GoogleChrome,Wasm,5,2657.509,2365.967,0,187.381,186.669
MicrosoftEdge,Wasm,1,2810.357,2574.918,0,161.421,179.594
MicrosoftEdge,Wasm,2,2704.380,2460.087,0,160.770,180.573
MicrosoftEdge,Wasm,3,2727.914,2481.909,0,161.058,182.048
MicrosoftEdge,Wasm,4,2659.707,2434.937,0,144.921,180.432
MicrosoftEdge,Wasm,5,2667.825,2448.655,0,143.707,178.378
MozillaFirefox,Wasm,1,2421.590,2220.369,0,130.553,154.600
MozillaFirefox,Wasm,2,2393.042,2179.715,0,134.401,159.739
MozillaFirefox,Wasm,3,2339.080,2128.974,0,132.939,157.415
MozillaFirefox,Wasm,4,2355.692,2143.868,0,133.673,158.710
MozillaFirefox,Wasm,5,2344.489,2132.722,0,134.111,159.239
