Browser,Language,N,Package,CPU,GPU,DRAM,Time
GoogleChrome,TS,1,1302.726,1011.624,0,195.399,194.141
GoogleChrome,TS,2,1351.284,1055.225,0,198.827,198.090
GoogleChrome,TS,3,1294.280,1002.909,0,195.201,193.969
GoogleChrome,TS,Median,1302.726,1011.624,0.000,195.399,194.141
GoogleChrome,TS,Mean,1316.097,1023.253,0.000,196.476,195.400
MicrosoftEdge,TS,1,1388.780,1095.137,0,200.386,196.248
MicrosoftEdge,TS,2,1399.692,1102.264,0,201.858,197.937
MicrosoftEdge,TS,3,1405.318,1109.663,0,200.966,196.842
MicrosoftEdge,TS,Median,1399.692,1102.264,0.000,200.966,196.842
MicrosoftEdge,TS,Mean,1397.930,1102.355,0.000,201.070,197.009
MozillaFirefox,TS,1,3070.871,2554.841,0,334.549,357.460
MozillaFirefox,TS,2,2921.304,2417.858,0,325.989,346.730
MozillaFirefox,TS,3,3114.900,2597.602,0,335.240,359.093
MozillaFirefox,TS,Median,3070.871,2554.841,0.000,334.549,357.460
MozillaFirefox,TS,Mean,3035.692,2523.434,0.000,331.926,354.427
GoogleChrome,Wasm,1,953.073,693.274,0,174.672,174.178
GoogleChrome,Wasm,2,947.167,695.342,0,169.962,174.101
GoogleChrome,Wasm,3,972.201,710.359,0,176.232,175.103
GoogleChrome,Wasm,Median,953.073,695.342,0.000,174.672,174.178
GoogleChrome,Wasm,Mean,957.480,699.659,0.000,173.622,174.461
MicrosoftEdge,Wasm,1,974.253,716.779,0,174.702,172.030
MicrosoftEdge,Wasm,2,978.477,718.103,0,176.182,173.020
MicrosoftEdge,Wasm,3,974.304,715.694,0,175.030,172.052
MicrosoftEdge,Wasm,Median,974.304,716.779,0.000,175.030,172.052
MicrosoftEdge,Wasm,Mean,975.678,716.859,0.000,175.305,172.367
MozillaFirefox,Wasm,1,1365.674,1073.740,0,190.719,197.728
MozillaFirefox,Wasm,2,1363.184,1066.779,0,193.455,200.541
MozillaFirefox,Wasm,3,1345.633,1052.509,0,191.584,198.685
MozillaFirefox,Wasm,Median,1363.184,1066.779,0.000,191.584,198.685
MozillaFirefox,Wasm,Mean,1358.164,1064.343,0.000,191.919,198.985
