Browser,Language,N,Package,CPU,GPU,DRAM,Time
GoogleChrome,TS,1,1249.967,918.292,0,207.071,211.915
GoogleChrome,TS,2,1260.554,927.963,0,208.691,212.776
GoogleChrome,TS,3,1253.635,921.606,0,207.992,212.353
GoogleChrome,TS,4,1276.412,948.607,0,205.633,209.500
GoogleChrome,TS,5,1263.207,933.075,0,207.178,211.005
MicrosoftEdge,TS,1,1273.759,973.445,0,187.043,210.831
MicrosoftEdge,TS,2,1281.244,982.321,0,186.329,209.926
MicrosoftEdge,TS,3,1281.028,981.853,0,186.486,210.018
MicrosoftEdge,TS,4,1282.448,983.477,0,186.351,209.834
MicrosoftEdge,TS,5,1282.430,982.204,0,186.682,210.486
MozillaFirefox,TS,1,2925.195,2418.471,0,294.105,369.387
MozillaFirefox,TS,2,2946.495,2473.865,0,275.465,371.377
MozillaFirefox,TS,3,2788.315,2295.580,0,288.113,357.375
MozillaFirefox,TS,4,2810.000,2317.891,0,287.471,357.862
MozillaFirefox,TS,5,2800.047,2306.687,0,287.534,360.071
GoogleChrome,Wasm,1,845.422,578.057,0,164.213,189.536
GoogleChrome,Wasm,2,862.906,599.047,0,161.306,185.917
GoogleChrome,Wasm,3,847.818,583.326,0,161.267,186.081
GoogleChrome,Wasm,4,847.060,583.057,0,161.757,186.201
GoogleChrome,Wasm,5,860.288,595.928,0,161.444,186.207
MicrosoftEdge,Wasm,1,883.008,618.986,0,165.097,186.173
MicrosoftEdge,Wasm,2,898.112,632.373,0,165.143,186.572
MicrosoftEdge,Wasm,3,891.030,624.344,0,165.976,187.330
MicrosoftEdge,Wasm,4,903.023,640.745,0,162.717,183.741
MicrosoftEdge,Wasm,5,895.941,632.568,0,163.867,184.757
MozillaFirefox,Wasm,1,1186.797,874.036,0,185.135,224.629
MozillaFirefox,Wasm,2,1197.359,878.055,0,188.548,228.898
MozillaFirefox,Wasm,3,1169.557,856.104,0,185.836,225.260
MozillaFirefox,Wasm,4,1202.093,891.374,0,183.745,222.775
MozillaFirefox,Wasm,5,1179.326,863.346,0,187.151,226.618
