Browser,Language,N,Package,CPU,GPU,DRAM,Time
GoogleChrome,TS,1,108.290,93.320,0,11.470,9.524
GoogleChrome,TS,2,105.953,91.301,0,11.204,9.328
GoogleChrome,TS,3,105.919,91.018,0,11.337,9.456
GoogleChrome,TS,Median,105.953,91.301,0.000,11.337,9.456
GoogleChrome,TS,Mean,106.721,91.880,0.000,11.337,9.436
MicrosoftEdge,TS,1,64.129,49.651,0,10.122,9.504
MicrosoftEdge,TS,2,64.678,50.319,0,10.033,9.406
MicrosoftEdge,TS,3,65.203,50.798,0,10.107,9.475
MicrosoftEdge,TS,Median,64.678,50.319,0.000,10.107,9.475
MicrosoftEdge,TS,Mean,64.670,50.256,0.000,10.087,9.462
MozillaFirefox,TS,1,122.731,101.491,0,14.177,14.356
MozillaFirefox,TS,2,124.211,103.154,0,14.185,14.317
MozillaFirefox,TS,3,124.645,103.380,0,14.261,14.412
MozillaFirefox,TS,Median,124.211,103.154,0.000,14.185,14.356
MozillaFirefox,TS,Mean,123.862,102.675,0.000,14.208,14.362
GoogleChrome,Wasm,1,96.847,83.340,0,10.379,8.620
GoogleChrome,Wasm,2,95.961,82.707,0,10.258,8.502
GoogleChrome,Wasm,3,96.638,83.494,0,10.105,8.328
GoogleChrome,Wasm,Median,96.638,83.340,0.000,10.258,8.502
GoogleChrome,Wasm,Mean,96.482,83.180,0.000,10.247,8.483
MicrosoftEdge,Wasm,1,52.983,39.837,0,9.222,8.794
MicrosoftEdge,Wasm,2,51.940,38.720,0,9.272,8.775
MicrosoftEdge,Wasm,3,52.361,38.757,0,9.434,8.974
MicrosoftEdge,Wasm,Median,52.361,38.757,0.000,9.272,8.794
MicrosoftEdge,Wasm,Mean,52.428,39.105,0.000,9.309,8.848
MozillaFirefox,Wasm,1,83.530,69.849,0,9.486,9.356
MozillaFirefox,Wasm,2,70.862,56.356,0,9.865,9.781
MozillaFirefox,Wasm,3,73.010,58.819,0,9.632,9.583
MozillaFirefox,Wasm,Median,73.010,58.819,0.000,9.632,9.583
MozillaFirefox,Wasm,Mean,75.801,61.674,0.000,9.661,9.573
