Browser,Language,N,Package,CPU,GPU,DRAM,Time
GoogleChrome,TS,1,58.406,44.927,0,8.856,9.899
GoogleChrome,TS,2,58.228,44.495,0,8.721,9.740
GoogleChrome,TS,3,58.836,44.773,0,8.757,9.836
GoogleChrome,TS,4,58.650,44.558,0,8.854,9.900
GoogleChrome,TS,5,58.690,44.383,0,8.915,10.005
MicrosoftEdge,TS,1,62.040,47.786,0,9.209,9.934
MicrosoftEdge,TS,2,60.285,46.016,0,9.239,9.962
MicrosoftEdge,TS,3,59.599,44.738,0,9.571,10.337
MicrosoftEdge,TS,4,61.605,47.170,0,9.386,10.059
MicrosoftEdge,TS,5,60.355,45.588,0,9.409,10.162
MozillaFirefox,TS,1,124.869,103.344,0,13.144,15.280
MozillaFirefox,TS,2,111.606,89.887,0,13.195,15.560
MozillaFirefox,TS,3,111.569,89.646,0,13.255,15.700
MozillaFirefox,TS,4,113.316,91.609,0,13.116,15.321
MozillaFirefox,TS,5,115.936,93.853,0,13.101,15.448
GoogleChrome,Wasm,1,48.186,34.543,0,8.408,9.579
GoogleChrome,Wasm,2,48.942,36.120,0,8.097,9.052
GoogleChrome,Wasm,3,48.727,35.348,0,8.270,9.426
GoogleChrome,Wasm,4,50.585,37.113,0,8.355,9.305
GoogleChrome,Wasm,5,48.680,35.094,0,8.506,9.493
MicrosoftEdge,Wasm,1,48.856,35.554,0,8.493,9.255
MicrosoftEdge,Wasm,2,48.423,34.631,0,8.796,9.598
MicrosoftEdge,Wasm,3,48.369,34.667,0,8.742,9.552
MicrosoftEdge,Wasm,4,49.270,35.576,0,8.761,9.441
MicrosoftEdge,Wasm,5,49.001,34.772,0,9.037,9.829
MozillaFirefox,Wasm,1,62.595,47.292,0,9.409,10.863
MozillaFirefox,Wasm,2,64.508,49.186,0,9.329,10.797
MozillaFirefox,Wasm,3,64.652,49.675,0,9.102,10.527
MozillaFirefox,Wasm,4,64.680,48.650,0,9.866,11.216
MozillaFirefox,Wasm,5,62.077,46.544,0,9.578,10.959
