Browser,Language,N,Package,CPU,GPU,DRAM,Time
GoogleChrome,TS,1,176.854,142.988,0,23.746,22.075
GoogleChrome,TS,2,174.574,140.313,0,23.958,22.368
GoogleChrome,TS,3,176.299,142.204,0,24.043,22.435
GoogleChrome,TS,Median,176.299,142.204,0.000,23.958,22.368
GoogleChrome,TS,Mean,175.909,141.835,0.000,23.916,22.292
MicrosoftEdge,TS,1,137.745,103.987,0,22.905,22.368
MicrosoftEdge,TS,2,142.014,108.362,0,22.919,22.348
MicrosoftEdge,TS,3,137.112,103.589,0,22.882,22.270
MicrosoftEdge,TS,Median,137.745,103.987,0.000,22.905,22.348
MicrosoftEdge,TS,Mean,138.957,105.313,0.000,22.902,22.329
MozillaFirefox,TS,1,294.580,241.938,0,34.569,36.024
MozillaFirefox,TS,2,294.592,242.324,0,34.187,35.664
MozillaFirefox,TS,3,292.667,239.527,0,34.659,36.232
MozillaFirefox,TS,Median,294.580,241.938,0.000,34.569,36.024
MozillaFirefox,TS,Mean,293.947,241.263,0.000,34.472,35.974
GoogleChrome,Wasm,1,156.591,124.769,0,22.754,20.914
GoogleChrome,Wasm,2,161.149,129.376,0,22.763,20.598
GoogleChrome,Wasm,3,151.468,120.041,0,22.049,20.843
GoogleChrome,Wasm,Median,156.591,124.769,0.000,22.754,20.843
GoogleChrome,Wasm,Mean,156.403,124.729,0.000,22.522,20.785
MicrosoftEdge,Wasm,1,110.394,78.470,0,21.475,21.371
MicrosoftEdge,Wasm,2,108.089,75.812,0,21.640,21.591
MicrosoftEdge,Wasm,3,107.747,76.399,0,21.137,21.003
MicrosoftEdge,Wasm,Median,108.089,76.399,0.000,21.475,21.371
MicrosoftEdge,Wasm,Mean,108.743,76.893,0.000,21.417,21.321
MozillaFirefox,Wasm,1,161.583,128.330,0,21.817,22.408
MozillaFirefox,Wasm,2,150.342,115.848,0,22.830,23.158
MozillaFirefox,Wasm,3,152.272,118.358,0,22.573,22.820
MozillaFirefox,Wasm,Median,152.272,118.358,0.000,22.573,22.820
MozillaFirefox,Wasm,Mean,154.732,120.845,0.000,22.407,22.795
