Browser,Language,N,Package,CPU,GPU,DRAM,Time
GoogleChrome,TS,1,418.777,289.284,0,79.651,91.228
GoogleChrome,TS,2,424.778,295.973,0,79.381,90.824
GoogleChrome,TS,3,416.041,284.266,0,80.711,92.896
GoogleChrome,TS,4,421.918,292.045,0,79.803,91.229
GoogleChrome,TS,5,416.553,287.194,0,79.349,91.054
MicrosoftEdge,TS,1,455.144,325.101,0,81.195,90.843
MicrosoftEdge,TS,2,456.643,327.223,0,80.752,90.588
MicrosoftEdge,TS,3,453.788,323.573,0,81.493,91.363
MicrosoftEdge,TS,4,463.103,334.184,0,81.028,90.256
MicrosoftEdge,TS,5,459.858,329.632,0,81.560,90.934
MozillaFirefox,TS,1,1000.909,791.835,0,122.374,151.157
MozillaFirefox,TS,2,984.480,776.229,0,121.666,150.255
MozillaFirefox,TS,3,994.673,788.181,0,120.978,149.216
MozillaFirefox,TS,4,982.641,774.354,0,121.781,150.661
MozillaFirefox,TS,5,995.411,784.949,0,122.987,152.161
GoogleChrome,Wasm,1,342.619,217.596,0,76.457,88.584
GoogleChrome,Wasm,2,346.587,223.200,0,75.409,87.463
GoogleChrome,Wasm,3,341.340,217.880,0,75.217,87.571
GoogleChrome,Wasm,4,343.258,217.043,0,76.801,89.329
GoogleChrome,Wasm,5,340.159,214.982,0,76.165,88.397
MicrosoftEdge,Wasm,1,496.017,377.757,0,76.011,81.875
MicrosoftEdge,Wasm,2,405.327,282.464,0,77.261,86.340
MicrosoftEdge,Wasm,3,377.454,253.704,0,77.059,87.239
MicrosoftEdge,Wasm,4,371.160,248.101,0,76.609,86.485
MicrosoftEdge,Wasm,5,386.373,262.502,0,77.473,86.934
MozillaFirefox,Wasm,1,483.356,346.154,0,82.236,99.435
MozillaFirefox,Wasm,2,478.169,338.801,0,82.411,99.647
MozillaFirefox,Wasm,3,474.377,334.349,0,82.853,100.357
MozillaFirefox,Wasm,4,482.125,344.063,0,82.129,98.931
MozillaFirefox,Wasm,5,489.947,351.964,0,81.790,98.731
