Browser,Language,N,Package,CPU,GPU,DRAM,Time
GoogleChrome,TS,1,409.771,278.306,0,79.954,92.558
GoogleChrome,TS,2,413.383,285.094,0,78.595,90.333
GoogleChrome,TS,3,412.263,282.995,0,79.216,91.275
GoogleChrome,TS,4,412.205,282.491,0,79.203,91.268
GoogleChrome,TS,5,417.312,286.706,0,79.595,92.044
MicrosoftEdge,TS,1,446.001,316.270,0,80.988,90.736
MicrosoftEdge,TS,2,449.166,319.121,0,81.048,90.980
MicrosoftEdge,TS,3,449.333,320.337,0,80.616,90.183
MicrosoftEdge,TS,4,443.338,314.481,0,80.406,90.155
MicrosoftEdge,TS,5,449.168,319.835,0,80.429,90.443
MozillaFirefox,TS,1,952.095,749.637,0,119.114,146.606
MozillaFirefox,TS,2,944.685,744.754,0,117.638,144.614
MozillaFirefox,TS,3,937.343,735.082,0,118.385,145.897
MozillaFirefox,TS,4,954.331,753.223,0,117.879,145.103
MozillaFirefox,TS,5,953.303,750.172,0,118.663,146.325
GoogleChrome,Wasm,1,325.650,203.893,0,74.875,86.626
GoogleChrome,Wasm,2,326.898,202.319,0,76.094,88.208
GoogleChrome,Wasm,3,326.023,202.416,0,75.469,87.487
GoogleChrome,Wasm,4,331.827,209.187,0,74.435,86.594
GoogleChrome,Wasm,5,336.871,213.283,0,75.244,87.213
MicrosoftEdge,Wasm,1,355.395,233.042,0,76.604,86.151
MicrosoftEdge,Wasm,2,359.193,237.479,0,75.793,85.375
MicrosoftEdge,Wasm,3,359.837,236.626,0,76.544,86.502
MicrosoftEdge,Wasm,4,360.109,239.523,0,74.920,84.535
MicrosoftEdge,Wasm,5,360.880,238.351,0,76.015,85.735
MozillaFirefox,Wasm,1,470.084,336.256,0,81.614,97.946
MozillaFirefox,Wasm,2,466.846,330.542,0,80.958,97.644
MozillaFirefox,Wasm,3,454.530,315.567,0,82.186,99.380
MozillaFirefox,Wasm,4,462.654,325.442,0,81.388,98.378
MozillaFirefox,Wasm,5,457.816,321.325,0,80.955,97.665
