Browser,Language,N,Package,CPU,GPU,DRAM,Time
GoogleChrome,TS,1,415.173,285.999,0,79.328,91.141
GoogleChrome,TS,2,415.990,289.099,0,77.881,89.420
GoogleChrome,TS,3,415.892,287.631,0,78.642,90.652
GoogleChrome,TS,4,416.506,287.618,0,78.936,90.554
GoogleChrome,TS,5,413.446,283.714,0,79.579,91.463
MicrosoftEdge,TS,1,455.011,325.517,0,81.159,90.790
MicrosoftEdge,TS,2,447.913,318.544,0,81.029,90.599
MicrosoftEdge,TS,3,459.735,329.366,0,81.289,91.110
MicrosoftEdge,TS,4,454.412,325.018,0,80.740,90.476
MicrosoftEdge,TS,5,450.282,321.197,0,81.098,90.440
MozillaFirefox,TS,1,981.150,775.503,0,121.555,148.838
MozillaFirefox,TS,2,989.642,782.171,0,122.058,149.808
MozillaFirefox,TS,3,969.981,764.059,0,121.098,148.449
MozillaFirefox,TS,4,977.806,772.344,0,121.336,148.524
MozillaFirefox,TS,5,981.592,774.478,0,121.958,149.963
GoogleChrome,Wasm,1,349.059,225.709,0,75.814,87.068
GoogleChrome,Wasm,2,336.151,212.523,0,75.675,87.445
GoogleChrome,Wasm,3,337.108,212.944,0,76.091,87.917
GoogleChrome,Wasm,4,339.794,215.496,0,75.910,87.930
GoogleChrome,Wasm,5,342.015,217.788,0,75.838,88.094
MicrosoftEdge,Wasm,1,364.359,241.402,0,76.640,86.444
MicrosoftEdge,Wasm,2,364.433,242.001,0,76.385,86.156
MicrosoftEdge,Wasm,3,369.978,247.720,0,75.788,85.734
MicrosoftEdge,Wasm,4,370.163,247.582,0,76.098,85.922
MicrosoftEdge,Wasm,5,368.958,245.998,0,76.742,86.606
MozillaFirefox,Wasm,1,476.503,340.101,0,81.141,97.819
MozillaFirefox,Wasm,2,474.540,334.951,0,82.664,99.940
MozillaFirefox,Wasm,3,490.567,350.733,0,82.772,99.932
MozillaFirefox,Wasm,4,472.011,331.810,0,83.066,100.108
MozillaFirefox,Wasm,5,474.674,334.397,0,82.909,100.242
