Browser,Language,N,Package,CPU,GPU,DRAM,Time
GoogleChrome,TS,1,85.647,77.247,0,6.815,5.322
GoogleChrome,TS,2,86.475,78.220,0,6.780,4.802
GoogleChrome,TS,3,83.839,75.548,0,6.793,5.226
GoogleChrome,TS,Median,85.647,77.247,0.000,6.793,5.226
GoogleChrome,TS,Mean,85.320,77.005,0.000,6.796,5.117
MicrosoftEdge,TS,1,44.719,36.599,0,5.719,5.395
MicrosoftEdge,TS,2,47.737,39.748,0,5.811,5.195
MicrosoftEdge,TS,3,47.484,39.227,0,6.043,5.347
MicrosoftEdge,TS,Median,47.484,39.227,0.000,5.811,5.347
MicrosoftEdge,TS,Mean,46.647,38.525,0.000,5.858,5.312
MozillaFirefox,TS,1,96.741,84.738,0,8.624,7.877
MozillaFirefox,TS,2,77.868,65.746,0,8.435,8.083
MozillaFirefox,TS,3,78.556,66.462,0,8.374,7.941
MozillaFirefox,TS,Median,78.556,66.462,0.000,8.435,7.941
MozillaFirefox,TS,Mean,84.388,72.315,0.000,8.478,7.967
GoogleChrome,Wasm,1,75.475,68.120,0,6.354,4.628
GoogleChrome,Wasm,2,75.691,68.308,0,6.193,4.605
GoogleChrome,Wasm,3,72.488,65.245,0,6.151,4.596
GoogleChrome,Wasm,Median,75.475,68.120,0.000,6.193,4.605
GoogleChrome,Wasm,Mean,74.552,67.225,0.000,6.233,4.610
MicrosoftEdge,Wasm,1,34.412,27.092,0,5.125,4.872
MicrosoftEdge,Wasm,2,33.875,26.779,0,5.014,4.773
MicrosoftEdge,Wasm,3,33.093,25.827,0,5.088,4.824
MicrosoftEdge,Wasm,Median,33.875,26.779,0.000,5.088,4.824
MicrosoftEdge,Wasm,Mean,33.793,26.566,0.000,5.075,4.823
MozillaFirefox,Wasm,1,56.266,47.424,0,6.333,6.066
MozillaFirefox,Wasm,2,49.981,41.524,0,5.929,5.734
MozillaFirefox,Wasm,3,49.002,40.321,0,6.034,5.835
MozillaFirefox,Wasm,Median,49.981,41.524,0.000,6.034,5.835
MozillaFirefox,Wasm,Mean,51.750,43.090,0.000,6.099,5.879
