Browser,Language,N,Package,CPU,GPU,DRAM,Time
GoogleChrome,TS,1,123.260,89.490,0,20.614,23.826
GoogleChrome,TS,2,136.484,102.157,0,20.795,23.873
GoogleChrome,TS,3,132.859,99.265,0,20.986,23.768
GoogleChrome,TS,4,125.379,91.464,0,20.833,23.903
GoogleChrome,TS,5,125.770,92.284,0,20.526,23.622
MicrosoftEdge,TS,1,128.607,94.342,0,21.443,23.935
MicrosoftEdge,TS,2,128.504,94.212,0,21.404,23.935
MicrosoftEdge,TS,3,126.744,93.002,0,21.208,23.733
MicrosoftEdge,TS,4,129.138,94.776,0,21.536,24.044
MicrosoftEdge,TS,5,129.414,94.781,0,21.576,24.113
MozillaFirefox,TS,1,264.034,210.372,0,31.752,38.845
MozillaFirefox,TS,2,272.579,219.056,0,31.607,38.652
MozillaFirefox,TS,3,269.210,215.186,0,31.606,38.936
MozillaFirefox,TS,4,272.447,218.562,0,31.675,38.634
MozillaFirefox,TS,5,271.844,218.064,0,31.728,38.750
GoogleChrome,Wasm,1,98.721,66.397,0,19.984,23.191
GoogleChrome,Wasm,2,101.954,69.095,0,20.024,23.211
GoogleChrome,Wasm,3,101.911,69.347,0,19.803,22.964
GoogleChrome,Wasm,4,103.301,70.757,0,19.937,23.053
GoogleChrome,Wasm,5,107.313,76.250,0,18.793,21.900
MicrosoftEdge,Wasm,1,104.423,71.633,0,20.191,22.865
MicrosoftEdge,Wasm,2,104.933,72.040,0,20.379,23.047
MicrosoftEdge,Wasm,3,102.929,70.320,0,20.267,22.919
MicrosoftEdge,Wasm,4,104.530,71.995,0,20.225,22.742
MicrosoftEdge,Wasm,5,104.003,71.874,0,19.927,22.545
MozillaFirefox,Wasm,1,127.181,91.342,0,21.235,25.575
MozillaFirefox,Wasm,2,131.755,95.660,0,21.567,25.762
MozillaFirefox,Wasm,3,132.410,96.527,0,21.529,25.609
MozillaFirefox,Wasm,4,130.833,95.073,0,21.426,25.660
MozillaFirefox,Wasm,5,131.059,95.308,0,21.396,25.362
