C,Package,CPU,GPU,DRAM,Time
1,13.355,11.617,0,1.473,1.162
2,12.825,11.154,0,1.356,1.088
3,12.774,11.110,0,1.343,1.088
4,12.943,11.383,0,1.301,1.048
5,13.639,12.059,0,1.392,1.103
Median,12.943,11.383,0.000,1.356,1.088
Mean,13.107,11.464,0.000,1.373,1.098
WASM,Package,CPU,GPU,DRAM,Time
1,40.289,36.860,0,3.194,2.550
2,41.584,38.308,0,2.946,2.400
3,45.695,42.133,0,3.199,2.540
4,40.207,37.092,0,2.712,2.218
5,43.706,40.245,0,3.122,2.436
Median,41.584,38.308,0.000,3.122,2.436
Mean,42.296,38.928,0.000,3.035,2.429
JS,Package,CPU,GPU,DRAM,Time
1,41.076,37.346,0,3.448,2.684
2,41.387,37.804,0,3.155,2.467
3,42.484,38.832,0,3.256,2.466
4,42.633,39.086,0,3.106,2.420
5,41.812,38.270,0,3.157,2.363
Median,41.812,38.270,0.000,3.157,2.466
Mean,41.878,38.268,0.000,3.224,2.480
