C,Package,CPU,GPU,DRAM,Time
1,141.618,125.968,0,13.418,10.879
2,144.927,129.257,0,13.013,10.559
3,146.926,131.301,0,13.024,10.556
4,147.232,131.666,0,13.084,10.538
5,148.357,133.116,0,12.866,10.445
6,146.466,131.032,0,12.813,10.378
7,150.940,135.085,0,13.196,10.656
8,149.539,134.149,0,12.936,10.464
9,148.242,132.685,0,13.029,10.506
10,149.844,134.232,0,13.039,10.520
Median,147.737,132.176,0.000,13.026,10.529
Mean,147.409,131.849,0.000,13.042,10.550
WASM,Package,CPU,GPU,DRAM,Time
1,175.562,155.621,0,17.159,13.262
2,184.096,164.425,0,17.099,13.175
3,179.392,161.024,0,15.723,12.227
4,174.638,157.145,0,14.877,11.831
5,174.319,156.795,0,14.814,11.758
6,176.681,159.252,0,15.102,11.945
7,175.583,158.321,0,14.830,11.732
8,177.137,159.528,0,15.106,12.044
9,176.124,158.617,0,15.111,11.935
10,175.638,158.092,0,15.122,11.920
Median,175.881,158.469,0.000,15.108,11.940
Mean,176.917,158.882,0.000,15.494,12.183
JS,Package,CPU,GPU,DRAM,Time
1,167.164,148.882,0,15.790,12.526
2,177.093,158.331,0,16.144,12.691
3,177.220,159.050,0,15.719,12.417
4,177.775,159.291,0,15.821,12.515
5,179.583,160.820,0,15.977,12.577
6,178.081,159.463,0,15.797,12.501
7,178.043,159.637,0,15.866,12.449
8,178.611,160.134,0,16.060,12.614
9,178.403,160.101,0,15.685,12.355
10,177.641,159.354,0,15.739,12.362
Median,177.909,159.409,0.000,15.809,12.508
Mean,176.961,158.506,0.000,15.860,12.501
